swab.id;site;date;cluster_size;sex;age;forearm;body.mass;fat.amt;fat.method;percent.fat
NA;Aeolus;2009-Jan-31;NA;F;A;36.6;6.21;0.4964;soxhlet;0.079935588
NA;Aeolus;2009-Jan-31;NA;F;A;38.9;6.66;0.6003;soxhlet;0.090135135
NA;Aeolus;2009-Jan-31;NA;F;A;39.1;7.64;10.444;soxhlet;0.136701571
NA;Aeolus;2009-Jan-31;NA;F;A;37.5;7.37;0.4458;soxhlet;0.060488467
NA;Aeolus;2009-Jan-31;NA;F;A;37.2;6.46;0.4947;soxhlet;0.076578947
NA;Aeolus;2009-Jan-31;NA;F;A;40;7.13;0.3016;soxhlet;0.04230014
NA;Aeolus;2009-Jan-31;NA;F;A;36.8;6.53;0.5311;soxhlet;0.081332312
NA;Aeolus;2009-Jan-31;NA;F;A;38.5;6.85;0.663;soxhlet;0.096788321
NA;Aeolus;2009-Jan-31;NA;F;A;39;6.47;0.4599;soxhlet;0.071081917
NA;Aeolus;2009-Mar-27;NA;M;A;37.5;6.36;0.2643;soxhlet;0.041556604
NA;Aeolus;2009-Mar-27;NA;M;A;38;6.25;0.3447;soxhlet;0.055152
NA;Aeolus;2009-Mar-27;NA;M;A;37.5;6.33;0.3284;soxhlet;0.051879937
NA;Aeolus;2009-Mar-27;NA;M;A;36.4;6.04;0.3079;soxhlet;0.050976821
NA;Aeolus;2009-Mar-27;NA;M;A;36.8;6.48;0.4921;soxhlet;0.075941358
NA;Aeolus;2009-Mar-27;NA;M;J;37.7;6.66;0.3663;soxhlet;0.055
NA;Aeolus;2009-Mar-27;NA;M;J;37.8;5.82;0.3714;soxhlet;0.063814433
NA;Aeolus;2009-Mar-27;NA;M;J;36.9;6.1;0.5956;soxhlet;0.097639344
NA;Aeolus;2009-Mar-27;NA;M;A;38.4;6.78;0.4317;soxhlet;0.063672566
NA;Aeolus;2009-Mar-27;NA;M;A;37.4;5.88;0.2278;soxhlet;0.038741497
NA;Aeolus;2009-Mar-27;NA;F;J;38.5;6.07;0.4106;soxhlet;0.067644152
NA;Aeolus;2009-Mar-27;NA;M;J;37.2;6.65;0.2915;soxhlet;0.043834586
NA;Aeolus;2009-Mar-27;NA;M;J;38.6;6.88;0.5588;soxhlet;0.08122093
NA;Aeolus;2009-Mar-27;NA;M;J;36.2;6.92;0.7616;soxhlet;0.110057803
NA;Aeolus;2009-Mar-27;NA;M;J;37;5.75;0.3832;soxhlet;0.066643478
NA;Aeolus;2009-Mar-27;NA;F;J;36.3;6.13;0.4739;soxhlet;0.07730832
NA;Aeolus;2009-Mar-27;NA;F;J;39;6.85;0.4383;soxhlet;0.063985401
NA;Aeolus;2009-Mar-27;NA;F;J;37.6;5.55;0.2123;soxhlet;0.038252252
NA;Aeolus;2009-Mar-27;NA;F;J;36.9;6.7;0.5576;soxhlet;0.083223881
NA;Aeolus;2009-Mar-27;NA;F;J;37.7;5.91;0.3786;soxhlet;0.064060914
NA;Aeolus;2009-Mar-27;NA;F;A;39.1;6.55;0.5675;soxhlet;0.086641221
NA;Aeolus;2009-Mar-27;NA;F;A;38.4;7.21;0.6787;soxhlet;0.094133148
NA;Aeolus;2009-Mar-27;NA;F;A;38;6.36;0.2856;soxhlet;0.04490566
NA;Aeolus;2009-Mar-27;NA;F;A;36.2;6.15;0.392;soxhlet;0.063739837
NA;Aeolus;2009-Mar-27;NA;F;A;37.4;6.95;0.3377;soxhlet;0.048589928
NA;Aeolus;2009-Mar-27;NA;F;A;38.6;6.64;0.4332;soxhlet;0.065240964
NA;Aeolus;2009-Mar-27;NA;F;A;37.6;7;0.6638;soxhlet;0.094828571
NA;Aeolus;2009-Mar-27;NA;F;A;37.2;6.68;0.28;soxhlet;0.041916168
NA;Aeolus;2009-Mar-27;NA;F;A;38.6;6.83;0.509;soxhlet;0.074524158
NA;Aeolus;2009-Mar-27;NA;F;A;37.5;7.65;1.052;soxhlet;0.13751634
NA;Aeolus;2009-Mar-27;NA;F;A;37;6.52;0.6186;soxhlet;0.094877301
NA;Aeolus;2009-Mar-27;NA;F;A;37.8;7.07;0.4585;soxhlet;0.064851485
